,Date,Open,High,Low,Close,Adj Close,Volume,rsi,crossAbove30,lookback10
239,11/23/1981,0.328125,0.328125,0.32366100000000003,0.32366100000000003,0.257058,5740000,41.71300785244572,0,0
240,11/24/1981,0.32366100000000003,0.32366100000000003,0.321429,0.321429,0.255285,5538400,43.14553685601389,0,0
241,11/25/1981,0.328125,0.330357,0.328125,0.328125,0.260604,13137600,42.890030324354065,0,0
242,11/27/1981,0.337054,0.33928600000000003,0.337054,0.337054,0.26769499999999996,9312800,43.11318786980345,0,0
243,11/30/1981,0.334821,0.334821,0.33258899999999997,0.33258899999999997,0.26414899999999997,5992000,44.167702011269895,0,0
244,12/1/1981,0.33258899999999997,0.334821,0.33258899999999997,0.33258899999999997,0.26414899999999997,5846400,44.167702011269895,0,0
245,12/2/1981,0.334821,0.337054,0.334821,0.334821,0.265922,9391200,42.86215507494608,0,0
246,12/3/1981,0.33258899999999997,0.33258899999999997,0.330357,0.330357,0.262376,5107200,43.876853763307814,0,0
247,12/4/1981,0.33928600000000003,0.341518,0.33928600000000003,0.33928600000000003,0.269467,34288800,44.175758579069964,0,0
248,12/7/1981,0.341518,0.34375,0.341518,0.341518,0.27124000000000004,14823200,42.880979536515056,0,0
249,12/8/1981,0.33928600000000003,0.33928600000000003,0.334821,0.334821,0.265922,12656000,43.47688744987677,0,0
250,12/9/1981,0.337054,0.33928600000000003,0.337054,0.337054,0.26769499999999996,8568000,42.222329007071885,0,0
251,12/10/1981,0.337054,0.33928600000000003,0.337054,0.337054,0.26769499999999996,9352000,42.222329007071885,0,0
252,12/11/1981,0.337054,0.33928600000000003,0.334821,0.334821,0.265922,19023200,43.60839136705402,0,0
